epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1987.17,0.91679,1.29348,2.75217,0.97671,0,0.81401,0.8309,0.84919,0.70119,0.79794,0.81504,0.82686,0.604,1.02083,1.35223,2.92906,1.04589,0,0.00086635,0.00086635,0.00086635
29,2056.63,0.90935,1.28679,2.6971,0.96672,0,0.80211,0.8552,0.88853,0.73473,0.81845,0.82881,0.87631,0.65005,0.96201,1.4378,2.82324,1.02898,0,0.0008614,0.0008614,0.0008614
30,2125.94,0.90865,1.27441,2.73345,0.97199,0,0.8265,0.82498,0.87071,0.71252,0.81272,0.81248,0.85427,0.61852,1.00488,1.41759,2.93608,1.04556,0,0.00085645,0.00085645,0.00085645
31,2196.08,0.90971,1.27718,2.68746,0.96778,0,0.83379,0.81921,0.87296,0.71275,0.82723,0.80316,0.86522,0.61944,1.03684,1.38265,2.91385,1.04911,0,0.0008515,0.0008515,0.0008515
32,2267.87,0.90271,1.27504,2.67528,0.96494,0,0.83192,0.86238,0.88013,0.72065,0.82307,0.85388,0.87043,0.62859,0.98571,1.31708,2.77274,1.03715,0,0.00084655,0.00084655,0.00084655
33,2336.78,0.90526,1.28249,2.70071,0.96349,0,0.8123,0.81643,0.84927,0.69784,0.80406,0.80234,0.83784,0.62033,0.98572,1.37042,2.8453,1.03287,0,0.0008416,0.0008416,0.0008416
34,2407.15,0.90511,1.30253,2.69116,0.96484,0,0.81249,0.85854,0.86347,0.70462,0.78935,0.83491,0.83825,0.60592,1.03078,1.40707,2.90551,1.069,0,0.00083665,0.00083665,0.00083665
35,2478,0.89577,1.26029,2.6397,0.95943,0,0.79883,0.79549,0.84111,0.69647,0.78992,0.78031,0.8277,0.6081,0.98046,1.42988,2.88813,1.02054,0,0.0008317,0.0008317,0.0008317
36,2551.29,0.89925,1.27739,2.65074,0.9608,0,0.85259,0.8538,0.87839,0.73755,0.83476,0.83443,0.85807,0.62789,0.95471,1.29128,2.66711,1.03008,0,0.00082675,0.00082675,0.00082675
37,2621.79,0.88139,1.2267,2.53864,0.9547,0,0.85014,0.86656,0.89026,0.72894,0.84054,0.85085,0.87429,0.65319,0.97812,1.32347,2.69472,1.02991,0,0.0008218,0.0008218,0.0008218
